,Standard Industrial Classification (Revised 2007)     Section           Division -,Standard Industrial Classification (Revised 2007)     Section           Division -,Country and Region -,Country and Region -,STANDARD ERROR Total turnover,STANDARD ERROR Approximate gross value added at basic prices (aGVA),"STANDARD ERROR Total purchases of goods, materials and services",STANDARD ERROR Total employment costs,COEFFICIENT OF VARIATION Total turnover,COEFFICIENT OF VARIATION Approximate gross value added at basic prices (aGVA),"COEFFICIENT OF VARIATION Total purchases of goods, materials and services",COEFFICIENT OF VARIATION Total employment costs
9543,Q (Part) 2,Human health and social work activities ,Yorkshire and The Humber,2018.0,133.1,91.3,76.7,56.3,0.03,0.03,0.06,0.02
9544,Q (Part) 2,Human health and social work activities ,Yorkshire and The Humber,2019.0,176.9,164.5,71.2,64.2,0.04,0.06,0.06,0.03
9545,Q (Part) 2,Human health and social work activities ,East Midlands,2012.0,116.5,94.1,60.7,61.8,0.05,0.05,0.09,0.04
9546,Q (Part) 2,Human health and social work activities ,East Midlands,2013.0,156.8,119.4,65.2,53.2,0.06,0.06,0.1,0.03
9547,Q (Part) 2,Human health and social work activities ,East Midlands,2014.0,130.6,100.9,60.7,76,0.05,0.05,0.08,0.04
9548,Q (Part) 2,Human health and social work activities ,East Midlands,2015.0,242.3,179.9,99.1,135.5,0.08,0.08,0.11,0.07
9549,Q (Part) 2,Human health and social work activities ,East Midlands,2016.0,112.3,81.9,63.9,52,0.04,0.04,0.08,0.03
9550,Q (Part) 2,Human health and social work activities ,East Midlands,2017.0,122,98.4,51.7,56.7,0.04,0.04,0.06,0.03
9551,Q (Part) 2,Human health and social work activities ,East Midlands,2018.0,246.1,195.9,116.1,125.2,0.07,0.08,0.11,0.06
9552,Q (Part) 2,Human health and social work activities ,East Midlands,2019.0,284.1,147.5,173,61.4,0.08,0.06,0.16,0.03
9553,Q (Part) 2,Human health and social work activities ,West Midlands,2012.0,154.5,116,58.7,75.3,0.04,0.06,0.03,0.04
9554,Q (Part) 2,Human health and social work activities ,West Midlands,2013.0,258.6,250.4,42.5,63.6,0.06,0.12,0.02,0.03
9555,Q (Part) 2,Human health and social work activities ,West Midlands,2014.0,154.9,130.9,98.5,73.5,0.03,0.06,0.04,0.03
9556,Q (Part) 2,Human health and social work activities ,West Midlands,2015.0,142.6,125.7,60.1,103.5,0.03,0.05,0.03,0.04
9557,Q (Part) 2,Human health and social work activities ,West Midlands,2016.0,145.2,105.6,111.3,68.3,0.03,0.04,0.04,0.03
9558,Q (Part) 2,Human health and social work activities ,West Midlands,2017.0,169.8,132.1,107.1,72.5,0.03,0.04,0.05,0.03
9559,Q (Part) 2,Human health and social work activities ,West Midlands,2018.0,174.9,185.9,156.3,78.2,0.03,0.05,0.07,0.03
9560,Q (Part) 2,Human health and social work activities ,West Midlands,2019.0,204.4,222.4,188,72.3,0.04,0.08,0.08,0.03
9561,Q (Part) 2,Human health and social work activities ,East of England,2012.0,199.3,171.7,105.7,112.5,0.06,0.08,0.08,0.05
9562,Q (Part) 2,Human health and social work activities ,East of England,2013.0,199,160.8,83.5,103.2,0.05,0.06,0.07,0.05
9563,Q (Part) 2,Human health and social work activities ,East of England,2014.0,242.4,188.8,97.7,131.5,0.06,0.07,0.07,0.05
9564,Q (Part) 2,Human health and social work activities ,East of England,2015.0,234,178.4,92.1,131.9,0.05,0.05,0.06,0.05
9565,Q (Part) 2,Human health and social work activities ,East of England,2016.0,143.2,129,64,78.9,0.03,0.04,0.04,0.03
9566,Q (Part) 2,Human health and social work activities ,East of England,2017.0,197.1,161.2,74,115.6,0.04,0.05,0.06,0.04
9567,Q (Part) 2,Human health and social work activities ,East of England,2018.0,240.8,187.5,113.7,110,0.05,0.06,0.07,0.04
9568,Q (Part) 2,Human health and social work activities ,East of England,2019.0,228.6,177.8,106.2,130.9,0.05,0.06,0.08,0.05
9569,Q (Part) 2,Human health and social work activities ,London,2012.0,296.8,327.7,237.6,135.9,0.04,0.1,0.07,0.03
9570,Q (Part) 2,Human health and social work activities ,London,2013.0,343.7,378.9,218.1,166.1,0.05,0.1,0.06,0.04
9571,Q (Part) 2,Human health and social work activities ,London,2014.0,370.1,390.2,310.3,247.7,0.05,0.12,0.08,0.05
9572,Q (Part) 2,Human health and social work activities ,London,2015.0,396.6,490.2,375.5,261.2,0.05,0.14,0.09,0.05
9573,Q (Part) 2,Human health and social work activities ,London,2016.0,391.8,334.1,147,236.9,0.05,0.07,0.04,0.04
9574,Q (Part) 2,Human health and social work activities ,London,2017.0,430.1,299.7,289.2,215.2,0.05,0.06,0.06,0.04
9575,Q (Part) 2,Human health and social work activities ,London,2018.0,798.6,334.9,632.4,188.9,0.08,0.07,0.12,0.03
9576,Q (Part) 2,Human health and social work activities ,London,2019.0,407.6,368.3,326.2,244.8,0.04,0.08,0.07,0.04
9577,Q (Part) 2,Human health and social work activities ,South East,2012.0,246.2,180.3,125.3,190.3,0.05,0.05,0.07,0.05
9578,Q (Part) 2,Human health and social work activities ,South East,2013.0,198.3,157.7,101.6,205.3,0.03,0.04,0.05,0.05
9579,Q (Part) 2,Human health and social work activities ,South East,2014.0,358.4,292.6,227.3,205.7,0.05,0.07,0.09,0.05
9580,Q (Part) 2,Human health and social work activities ,South East,2015.0,583.4,283,438.8,168.5,0.08,0.06,0.17,0.04
9581,Q (Part) 2,Human health and social work activities ,South East,2016.0,378,315.7,123.1,143.1,0.05,0.06,0.06,0.03
9582,Q (Part) 2,Human health and social work activities ,South East,2017.0,338.2,214.3,183.6,121.9,0.04,0.04,0.07,0.03
9583,Q (Part) 2,Human health and social work activities ,South East,2018.0,659,404.1,343.8,315.5,0.07,0.07,0.1,0.06
9584,Q (Part) 2,Human health and social work activities ,South East,2019.0,672.2,411.6,404.9,278.8,0.07,0.07,0.11,0.05
9585,Q (Part) 2,Human health and social work activities ,South West,2012.0,120,113.7,34.5,67.8,0.04,0.05,0.03,0.03
9586,Q (Part) 2,Human health and social work activities ,South West,2013.0,200.7,135.3,126.8,70.3,0.05,0.05,0.09,0.03
9587,Q (Part) 2,Human health and social work activities ,South West,2014.0,155.8,150,95.6,96,0.04,0.06,0.07,0.04
9588,Q (Part) 2,Human health and social work activities ,South West,2015.0,160.5,142.8,76.4,80.6,0.04,0.05,0.06,0.03
9589,Q (Part) 2,Human health and social work activities ,South West,2016.0,202.4,176.7,181.1,90.9,0.05,0.07,0.11,0.03
9590,Q (Part) 2,Human health and social work activities ,South West,2017.0,256.8,104.2,199.7,107.1,0.06,0.04,0.13,0.04
9591,Q (Part) 2,Human health and social work activities ,South West,2018.0,143.9,101.8,85.8,57.5,0.03,0.03,0.06,0.02
9592,Q (Part) 2,Human health and social work activities ,South West,2019.0,167.3,114.2,91.6,69.2,0.04,0.04,0.07,0.02
9593,Q (Part) 2,Human health and social work activities ,England,2012.0,542.2,492.8,304.4,281.9,0.02,0.02,0.02,0.01
9594,Q (Part) 2,Human health and social work activities ,England,2013.0,654.7,604,318.6,334.3,0.02,0.03,0.02,0.01
9595,Q (Part) 2,Human health and social work activities ,England,2014.0,640.3,577.1,457,329.1,0.02,0.02,0.03,0.01
9596,Q (Part) 2,Human health and social work activities ,England,2015.0,705.9,640.7,604.9,316.7,0.02,0.02,0.04,0.01
9597,Q (Part) 2,Human health and social work activities ,England,2016.0,555.5,480.5,296.6,273.4,0.01,0.02,0.02,0.01
9598,Q (Part) 2,Human health and social work activities ,England,2017.0,676.2,453.2,423.5,284,0.02,0.02,0.03,0.01
9599,Q (Part) 2,Human health and social work activities ,England,2018.0,1069.8,620.3,783.7,380.8,0.02,0.02,0.04,0.01
9600,Q (Part) 2,Human health and social work activities ,England,2019.0,904.1,677.2,599.3,321.4,0.02,0.02,0.03,0.01
9601,Q (Part) 2,Human health and social work activities ,Wales,2012.0,108.7,78.3,78.7,33.9,0.07,0.07,0.17,0.03
9602,Q (Part) 2,Human health and social work activities ,Wales,2013.0,81.9,78.9,23.4,41.7,0.06,0.08,0.06,0.04
9603,Q (Part) 2,Human health and social work activities ,Wales,2014.0,86.7,84.5,41.8,47.5,0.06,0.08,0.09,0.04
9604,Q (Part) 2,Human health and social work activities ,Wales,2015.0,102.2,78.3,70.3,50.2,0.07,0.07,0.16,0.05
9605,Q (Part) 2,Human health and social work activities ,Wales,2016.0,67.4,61.9,33.6,41.6,0.04,0.05,0.08,0.04
9606,Q (Part) 2,Human health and social work activities ,Wales,2017.0,90.5,75.3,51.6,61.4,0.05,0.06,0.09,0.05
9607,Q (Part) 2,Human health and social work activities ,Wales,2018.0,62.4,62.1,29.9,34.8,0.03,0.05,0.06,0.03
9608,Q (Part) 2,Human health and social work activities ,Wales,2019.0,86.9,90.4,24.9,63.6,0.05,0.06,0.06,0.04
9609,Q (Part) 2,Human health and social work activities ,Scotland,2012.0,78.2,82.3,27.1,42.3,0.03,0.05,0.04,0.02
9610,Q (Part) 2,Human health and social work activities ,Scotland,2013.0,132.1,116.5,49.1,55.3,0.05,0.06,0.06,0.03
9611,Q (Part) 2,Human health and social work activities ,Scotland,2014.0,113.2,117.6,98.9,44.3,0.04,0.06,0.1,0.02
9612,Q (Part) 2,Human health and social work activities ,Scotland,2015.0,168.6,97.7,109.4,66.4,0.06,0.05,0.1,0.03
9613,Q (Part) 2,Human health and social work activities ,Scotland,2016.0,71,156.5,141,141.6,0.02,0.08,0.14,0.06
9614,Q (Part) 2,Human health and social work activities ,Scotland,2017.0,84.8,81.9,46.7,29.5,0.03,0.04,0.05,0.01
9615,Q (Part) 2,Human health and social work activities ,Scotland,2018.0,92.8,97.5,44.4,35.6,0.03,0.04,0.04,0.01
9616,Q (Part) 2,Human health and social work activities ,Scotland,2019.0,169.1,111.5,116.1,60.6,0.05,0.05,0.1,0.02
9617,Q (Part) 2,Human health and social work activities ,Northern Ireland,2012.0,54.9,44.4,14.1,31.3,0.06,0.08,0.04,0.05
9618,Q (Part) 2,Human health and social work activities ,Northern Ireland,2013.0,33.5,27.4,23.4,16.7,0.04,0.05,0.07,0.02
9619,Q (Part) 2,Human health and social work activities ,Northern Ireland,2014.0,28.9,41.4,38,17.3,0.03,0.08,0.1,0.02
9620,Q (Part) 2,Human health and social work activities ,Northern Ireland,2015.0,49.8,49,33.5,27.3,0.05,0.07,0.09,0.03
9621,Q (Part) 2,Human health and social work activities ,Northern Ireland,2016.0,38.3,43.1,26.1,22.9,0.03,0.06,0.06,0.03
9622,Q (Part) 2,Human health and social work activities ,Northern Ireland,2017.0,553.3,185.7,364.5,30.6,0.38,0.24,0.54,0.03
9623,Q (Part) 2,Human health and social work activities ,Northern Ireland,2018.0,52.8,54.3,32.6,33.2,0.05,0.08,0.09,0.04
9624,Q (Part) 2,Human health and social work activities ,Northern Ireland,2019.0,73.9,69.7,30.4,43.9,0.06,0.09,0.09,0.04
9625,Q (Part) 2,Human health and social work activities ,United Kingdom,2012.0,554.5,503.4,314.2,284,0.01,0.02,0.02,0.01
9626,Q (Part) 2,Human health and social work activities ,United Kingdom,2013.0,682.4,624,325.5,341.4,0.02,0.02,0.02,0.01
9627,Q (Part) 2,Human health and social work activities ,United Kingdom,2014.0,653.6,601.4,468.4,336.2,0.01,0.02,0.03,0.01
9628,Q (Part) 2,Human health and social work activities ,United Kingdom,2015.0,744.3,655,627.9,332.9,0.02,0.02,0.04,0.01
9629,Q (Part) 2,Human health and social work activities ,United Kingdom,2016.0,568.6,525.2,329,310.4,0.01,0.02,0.02,0.01
9630,Q (Part) 2,Human health and social work activities ,United Kingdom,2017.0,884.4,498.4,578.6,296.3,0.02,0.02,0.03,0.01
9631,Q (Part) 2,Human health and social work activities ,United Kingdom,2018.0,1090.2,629.3,794.2,386.1,0.02,0.02,0.04,0.01
9632,Q (Part) 2,Human health and social work activities ,United Kingdom,2019.0,914.6,696.4,613.3,336.5,0.02,0.02,0.03,0.01
9633,86,Human health activities ,North East,2012.0,22.4,17.5,5.9,12.1,0.1,0.1,0.1,0.1
9634,86,Human health activities ,North East,2013.0,85.1,46.4,43.3,13.2,0.29,0.24,0.42,0.12
9635,86,Human health activities ,North East,2014.0,101.2,53.1,51.9,27,0.26,0.2,0.4,0.15
9636,86,Human health activities ,North East,2015.0,117.2,118.6,5.5,16.4,0.32,0.4,0.08,0.11
9637,86,Human health activities ,North East,2016.0,26.6,23.5,14,19.5,0.1,0.13,0.18,0.11
9638,86,Human health activities ,North East,2017.0,59.4,33.8,27.6,21.8,0.18,0.17,0.21,0.11
9639,86,Human health activities ,North East,2018.0,47.7,37.6,14.4,18.5,0.21,0.25,0.17,0.14
9640,86,Human health activities ,North East,2019.0,10.8,54.3,55.8,36.6,0.05,1.38,0.35,0.21
9641,86,Human health activities ,North West,2012.0,62.9,50.8,26,27.8,0.08,0.1,0.1,0.07
9642,86,Human health activities ,North West,2013.0,227.1,183.3,65.3,168.2,0.2,0.22,0.21,0.32
9643,86,Human health activities ,North West,2014.0,143.5,88.2,73.9,48.4,0.15,0.15,0.2,0.11
9644,86,Human health activities ,North West,2015.0,173.3,119.8,83.2,51.4,0.15,0.16,0.19,0.09
9645,86,Human health activities ,North West,2016.0,142.3,116.5,56.9,43,0.12,0.18,0.11,0.08
9646,86,Human health activities ,North West,2017.0,85,81,17.1,25.6,0.07,0.1,0.04,0.04
9647,86,Human health activities ,North West,2018.0,95.5,101.9,49.7,34.8,0.06,0.11,0.08,0.04
9648,86,Human health activities ,North West,2019.0,210.3,131.2,149.7,36.5,0.1,0.11,0.17,0.05
9649,86,Human health activities ,Yorkshire and The Humber,2012.0,30.6,23.7,16.3,16.3,0.03,0.04,0.05,0.04
9650,86,Human health activities ,Yorkshire and The Humber,2013.0,130.4,118.7,32,26.5,0.13,0.19,0.09,0.07
9651,86,Human health activities ,Yorkshire and The Humber,2014.0,122.4,67.7,73.3,31.8,0.14,0.12,0.22,0.08
9652,86,Human health activities ,Yorkshire and The Humber,2015.0,54.9,52.1,15,12.7,0.06,0.09,0.06,0.03
9653,86,Human health activities ,Yorkshire and The Humber,2016.0,55.1,50.7,19.6,13.7,0.05,0.07,0.05,0.03
9654,86,Human health activities ,Yorkshire and The Humber,2017.0,72.6,54.4,23.7,34.3,0.08,0.09,0.06,0.08
9655,86,Human health activities ,Yorkshire and The Humber,2018.0,117.7,62.8,68.7,37.2,0.1,0.09,0.15,0.08
9656,86,Human health activities ,Yorkshire and The Humber,2019.0,81,55.2,55.9,30.2,0.07,0.09,0.12,0.05
9657,86,Human health activities ,East Midlands,2012.0,59,57.3,24.1,33.3,0.08,0.11,0.14,0.09
9658,86,Human health activities ,East Midlands,2013.0,121.4,82.4,42.6,23.5,0.14,0.13,0.2,0.05
9659,86,Human health activities ,East Midlands,2014.0,62.4,40.5,28.4,30.2,0.08,0.07,0.13,0.07
9660,86,Human health activities ,East Midlands,2015.0,101.9,*,*,47,0.12,*,*,0.11
9661,86,Human health activities ,East Midlands,2016.0,87.9,53.6,55.4,37,0.08,0.07,0.19,0.06
9662,86,Human health activities ,East Midlands,2017.0,92.9,62.6,40,43.6,0.11,0.11,0.14,0.1
9663,86,Human health activities ,East Midlands,2018.0,161.7,150.4,70.2,19.9,0.15,0.2,0.23,0.05
9664,86,Human health activities ,East Midlands,2019.0,215.6,61.5,161.8,35.1,0.18,0.09,0.35,0.07
9665,86,Human health activities ,West Midlands,2012.0,45.7,34.5,22.5,20.1,0.03,0.06,0.02,0.05
9666,86,Human health activities ,West Midlands,2013.0,229.8,225.2,28.7,17.9,0.11,0.32,0.02,0.05
9667,86,Human health activities ,West Midlands,2014.0,79.8,64,24.8,16.4,0.04,0.1,0.02,0.04
9668,86,Human health activities ,West Midlands,2015.0,73.9,*,*,53.2,0.04,*,*,0.13
9669,86,Human health activities ,West Midlands,2016.0,108.5,58.4,77.8,36.9,0.05,0.12,0.04,0.08
9670,86,Human health activities ,West Midlands,2017.0,132.3,76.8,77.6,28.8,0.05,0.07,0.05,0.07
9671,86,Human health activities ,West Midlands,2018.0,80.4,83,27.8,44.1,0.04,0.07,0.03,0.09
9672,86,Human health activities ,West Midlands,2019.0,62.1,51.2,30.2,28.4,0.03,0.08,0.02,0.06
9673,86,Human health activities ,East of England,2012.0,117.2,75.3,71.5,40.2,0.11,0.12,0.15,0.08
9674,86,Human health activities ,East of England,2013.0,93.7,64.3,39.6,39.6,0.08,0.09,0.09,0.08
9675,86,Human health activities ,East of England,2014.0,128.5,62.2,77.2,51.4,0.1,0.08,0.13,0.08
9676,86,Human health activities ,East of England,2015.0,103.7,85,32.1,55.1,0.07,0.09,0.07,0.08
9677,86,Human health activities ,East of England,2016.0,85.4,75.6,17.2,32.1,0.07,0.1,0.04,0.06
9678,86,Human health activities ,East of England,2017.0,145.6,106.3,54,86.9,0.11,0.13,0.11,0.13
9679,86,Human health activities ,East of England,2018.0,155.7,118.7,63,60.5,0.1,0.13,0.1,0.09
9680,86,Human health activities ,East of England,2019.0,139.8,94.9,73.7,72.5,0.13,0.16,0.14,0.14
9681,86,Human health activities ,London,2012.0,86.7,68.3,51.5,52.4,0.03,0.04,0.04,0.05
9682,86,Human health activities ,London,2013.0,249.1,220.4,64,47.1,0.08,0.12,0.05,0.05
9683,86,Human health activities ,London,2014.0,178.9,106.1,80.9,75.5,0.07,0.07,0.06,0.07
9684,86,Human health activities ,London,2015.0,256.4,231.5,41.6,148.7,0.08,0.13,0.03,0.12
9685,86,Human health activities ,London,2016.0,251.1,208.6,69.6,115.3,0.07,0.1,0.05,0.08
9686,86,Human health activities ,London,2017.0,259.3,180.2,143.7,90.7,0.07,0.09,0.09,0.07
9687,86,Human health activities ,London,2018.0,647.7,206.9,519,57.4,0.18,0.11,0.28,0.05
9688,86,Human health activities ,London,2019.0,268.8,171.7,119.9,76.5,0.07,0.09,0.07,0.05
9689,86,Human health activities ,South East,2012.0,135.5,71,80.7,57.4,0.08,0.07,0.11,0.06
9690,86,Human health activities ,South East,2013.0,107.5,70.3,57.3,54,0.06,0.07,0.07,0.07
9691,86,Human health activities ,South East,2014.0,259.1,148.8,173.4,78.5,0.12,0.12,0.17,0.09
9692,86,Human health activities ,South East,2015.0,548.7,149.7,423.5,103.5,0.23,0.12,0.37,0.12
9693,86,Human health activities ,South East,2016.0,195.6,164.3,63.5,58.3,0.09,0.11,0.08,0.06
9694,86,Human health activities ,South East,2017.0,272.1,133.6,155.1,62,0.11,0.09,0.15,0.06
9695,86,Human health activities ,South East,2018.0,241.4,92.3,193.8,64,0.09,0.07,0.14,0.06
9696,86,Human health activities ,South East,2019.0,554.8,306.3,360.4,90.2,0.17,0.18,0.23,0.07
9697,86,Human health activities ,South West,2012.0,36,27.3,15.3,20.2,0.04,0.04,0.05,0.04
9698,86,Human health activities ,South West,2013.0,163.8,66.4,115.3,19.4,0.13,0.08,0.25,0.03
9699,86,Human health activities ,South West,2014.0,110.4,89.2,33.2,47.3,0.09,0.12,0.07,0.06
9700,86,Human health activities ,South West,2015.0,74.1,67.7,11.6,30.9,0.07,0.09,0.03,0.05
9701,86,Human health activities ,South West,2016.0,78.3,25.4,73.9,29,0.07,0.04,0.17,0.05
9702,86,Human health activities ,South West,2017.0,49.7,39.5,21,64.9,0.05,0.06,0.06,0.1
9703,86,Human health activities ,South West,2018.0,48.4,30.9,25.7,20.7,0.05,0.05,0.06,0.04
9704,86,Human health activities ,South West,2019.0,65.2,56.2,18.5,17.1,0.06,0.07,0.05,0.03
9705,86,Human health activities ,England,2012.0,221.8,143.1,133.3,107.6,0.02,0.02,0.03,0.02
9706,86,Human health activities ,England,2013.0,494.4,398.4,173.5,191.6,0.04,0.05,0.03,0.04
9707,86,Human health activities ,England,2014.0,382.2,217.8,229.6,99.2,0.03,0.03,0.04,0.02
9708,86,Human health activities ,England,2015.0,532.1,294.9,412.5,170.9,0.04,0.04,0.07,0.03
9709,86,Human health activities ,England,2016.0,320.1,251.8,166.3,129.7,0.02,0.03,0.03,0.02
9710,86,Human health activities ,England,2017.0,402,237.9,233,135.4,0.03,0.03,0.04,0.02
9711,86,Human health activities ,England,2018.0,705.1,304.4,568,104.2,0.05,0.04,0.08,0.02
9712,86,Human health activities ,England,2019.0,640.3,347,436.5,135.9,0.04,0.04,0.06,0.02
9713,86,Human health activities ,Wales,2012.0,47.3,44.4,13.2,11.5,0.16,0.18,0.21,0.1
9714,86,Human health activities ,Wales,2013.0,46,45.3,9.7,12.3,0.2,0.24,0.23,0.12
9715,86,Human health activities ,Wales,2014.0,34.2,22.5,15,24.7,0.12,0.11,0.21,0.17
9716,86,Human health activities ,Wales,2015.0,73.4,47.2,39.4,21.4,0.35,0.32,0.65,0.2
9717,86,Human health activities ,Wales,2016.0,44.6,31.7,18.1,27,0.21,0.23,0.25,0.2
9718,86,Human health activities ,Wales,2017.0,50.9,37,16.3,10,0.14,0.14,0.17,0.06
9719,86,Human health activities ,Wales,2018.0,41.1,38,20.9,15.3,0.12,0.16,0.22,0.09
9720,86,Human health activities ,Wales,2019.0,60.8,58,7.2,48.9,0.21,0.27,0.09,0.19
9721,86,Human health activities ,Scotland,2012.0,29.6,27.8,10.6,12,0.06,0.08,0.07,0.04
9722,86,Human health activities ,Scotland,2013.0,103,77.9,32.7,34.4,0.14,0.16,0.15,0.1
9723,86,Human health activities ,Scotland,2014.0,49.2,33.2,25.7,12.6,0.09,0.11,0.1,0.04
9724,86,Human health activities ,Scotland,2015.0,116.3,73.1,70.2,12.3,0.16,0.17,0.26,0.04
9725,86,Human health activities ,Scotland,2016.0,35.6,25.2,21.6,8.1,0.07,0.08,0.1,0.03
9726,86,Human health activities ,Scotland,2017.0,70,69.8,15.2,8.5,0.13,0.19,0.08,0.03
9727,86,Human health activities ,Scotland,2018.0,55.6,57.1,18.9,18.8,0.1,0.15,0.09,0.06
9728,86,Human health activities ,Scotland,2019.0,60.1,67.6,24.4,13.4,0.11,0.2,0.11,0.04
9729,86,Human health activities ,Northern Ireland,2012.0,16.8,10.4,7.7,5.9,0.08,0.09,0.09,0.06
9730,86,Human health activities ,Northern Ireland,2013.0,27.8,14.6,17.4,11,0.13,0.12,0.21,0.12
9731,86,Human health activities ,Northern Ireland,2014.0,23.5,19.3,20.9,4.5,0.12,0.2,0.22,0.05
9732,86,Human health activities ,Northern Ireland,2015.0,29.5,19.4,22.9,4.6,0.14,0.16,0.25,0.05
9733,86,Human health activities ,Northern Ireland,2016.0,22.8,25.4,11.4,6.8,0.11,0.2,0.13,0.06
9734,86,Human health activities ,Northern Ireland,2017.0,557.9,182.7,366.9,17.2,0.85,0.66,0.97,0.14
9735,86,Human health activities ,Northern Ireland,2018.0,32.4,21.8,25.1,7.9,0.14,0.16,0.26,0.07
9736,86,Human health activities ,Northern Ireland,2019.0,68.9,58.8,17.7,36.7,0.24,0.29,0.23,0.25
9737,86,Human health activities ,United Kingdom,2012.0,225.7,154.3,133.2,108.5,0.02,0.02,0.03,0.02
9738,86,Human health activities ,United Kingdom,2013.0,502.6,409.4,173.9,191.2,0.04,0.05,0.03,0.04
9739,86,Human health activities ,United Kingdom,2014.0,383.6,219.3,229.9,101.6,0.03,0.03,0.04,0.02
9740,86,Human health activities ,United Kingdom,2015.0,553.3,302.5,425.5,175,0.04,0.04,0.07,0.03
9741,86,Human health activities ,United Kingdom,2016.0,326.1,258.4,169.1,131.3,0.02,0.03,0.03,0.02
9742,86,Human health activities ,United Kingdom,2017.0,706.2,311.3,447.9,136.9,0.04,0.03,0.07,0.02
9743,86,Human health activities ,United Kingdom,2018.0,710.9,311,573.6,104.4,0.04,0.03,0.08,0.02
